"p","freq","className","graph","Count","Release"
"<http://linkedevents.org/ontology/involvedAgent>",32,"<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/events>",874,2017-07-19
"<http://purl.org/dc/elements/1.1/modified>",44,"<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/events>",874,2017-07-19
"<http://purl.org/dc/elements/1.1/publisher>",918,"<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/events>",874,2017-07-19
"<http://3cixty.com/ontology#minDistanceNearestWeatherStation>",870,"<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/events>",874,2017-07-19
"<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>",1836,"<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/events>",874,2017-07-19
"<http://www.w3.org/2000/01/rdf-schema#label>",915,"<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/events>",874,2017-07-19
"<http://linkedevents.org/ontology/inSpace>",918,"<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/events>",874,2017-07-19
"<http://purl.org/dc/elements/1.1/created>",44,"<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/events>",874,2017-07-19
"<http://purl.org/dc/elements/1.1/identifier>",918,"<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/events>",874,2017-07-19
"<http://purl.org/dc/elements/1.1/issued>",915,"<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/events>",874,2017-07-19
"<http://purl.org/dc/elements/1.1/subject>",2094,"<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/events>",874,2017-07-19
"<http://linkedevents.org/ontology/hasCategory>",699,"<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/events>",874,2017-07-19
"<http://linkedevents.org/ontology/poster>",889,"<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/events>",874,2017-07-19
"<http://www.3cixty.com/ontology#descriptionScore>",963,"<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/events>",874,2017-07-19
"<http://www.3cixty.com/ontology#posterScore>",994,"<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/events>",874,2017-07-19
"<http://3cixty.com/ontology#nearestWeatherStation>",870,"<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/events>",874,2017-07-19
"<http://www.w3.org/2000/01/rdf-schema#seeAlso>",222,"<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/events>",874,2017-07-19
"<http://www.w3.org/2002/07/owl#sameAs>",915,"<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/events>",874,2017-07-19
"<http://linkedevents.org/ontology/atTime>",918,"<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/events>",874,2017-07-19
"<http://linkedevents.org/ontology/atPlace>",475,"<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/events>",874,2017-07-19
"<http://data.linkedevents.org/def/location#cell>",884,"<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/events>",874,2017-07-19
"<http://purl.org/dc/elements/1.1/description>",818,"<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/events>",874,2017-07-19
"<http://data.linkedevents.org/def/location#businessType>",918,"<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/events>",874,2017-07-19
